hex,built,capacity_cph
872661b70ffffff,0,0
872661b73ffffff,0,0
872661b72ffffff,0,0
872661b54ffffff,0,0
872661a21ffffff,0,0
872661a28ffffff,0,0
872661a2bffffff,0,0
872661a76ffffff,0,0
872661a0dffffff,0,0
872661a72ffffff,0,0
872661a54ffffff,0,0
872661a50ffffff,0,0
872661a51ffffff,0,0
872661a2effffff,0,0
872661a23ffffff,0,0
872661a04ffffff,1,1
872661a31ffffff,0,0
872661a35ffffff,0,0
872661a22ffffff,0,0
872661a20ffffff,0,0
872a924dbffffff,0,0
872a924d8ffffff,0,0
872a924deffffff,0,0
872a924d0ffffff,0,0
872661a40ffffff,0,0
872661a43ffffff,0,0
872661a42ffffff,0,0
872661a55ffffff,0,0
872661a46ffffff,0,0
872a9249effffff,0,0
872661b30ffffff,0,0
872661b32ffffff,0,0
872661b29ffffff,0,0
872661b28ffffff,0,0
872661b01ffffff,0,0
872661b0effffff,0,0
872661b00ffffff,0,0
872661b0affffff,0,0
872661849ffffff,0,0
872661848ffffff,0,0
87266184bffffff,0,0
872661b16ffffff,0,0
872661b12ffffff,0,0
872661bacffffff,0,0
872661badffffff,0,0
872661b1effffff,0,0
872661b1affffff,0,0
872661b18ffffff,0,0
872661b19ffffff,0,0
872661a24ffffff,0,0
872661b2bffffff,0,0
872661b2cffffff,0,0
872a924d4ffffff,0,0
872a924f2ffffff,0,0
872a924f0ffffff,0,0
872a924f6ffffff,1,1
872a924a9ffffff,0,0
872a924adffffff,0,0
872a92413ffffff,0,0
872a92412ffffff,0,0
872a924a1ffffff,0,0
872a92410ffffff,0,0
872a92411ffffff,0,0
872a92402ffffff,0,0
872a92400ffffff,0,0
872a92401ffffff,0,0
872a9242affffff,0,0
872a9242bffffff,0,0
872a92429ffffff,0,0
872a92474ffffff,0,0
872a9255bffffff,0,0
872a9255affffff,0,0
872a92558ffffff,0,0
872a9255cffffff,1,1
872a9255dffffff,1,1
872a92543ffffff,0,0
872a92541ffffff,0,0
872a9256affffff,0,0
872a92568ffffff,0,0
872a9256dffffff,0,0
